document_id,party_id,role,name_row_id
sen-scout-puelec-pip-2026,senegal-budget-ministry,author,senegal-budget-ministry.name.1
sen-scout-energy-policy-evaluation,senegal-mepm,author,senegal-mepm.name.1
sen-scout-giz-ped2-project,giz,author,giz.name.1
sen-scout-clean-cooking-strategy,senegal-mepm,author,senegal-mepm.name.1
sen-scout-ouarkhokh-par,boad,commissioner,boad.name.1
sen-scout-ouarkhokh-par,pyramide-environmental-consultants,author,pyramide-environmental-consultants.name.1
sen-scout-ouarkhokh-pepp,boad-senelec,author,boad-senelec.name.1
sen-scout-genertec-ouarkhokh,genertec-international-cntic,author,genertec-international-cntic.name.1
sen-scout-aner-fiches-ice,aner,author,aner.name.1
sen-scout-cesag-aner-thesis,cesag,commissioner,cesag.name.1
sen-senelec-ppm-2026-v2,senelec,author,senelec.name.2
sen-arcop-aser-audit-2023,arcop,commissioner,arcop.name.1
sen-arcop-aser-audit-2023,grant-thornton,author,grant-thornton.name.1
sen-mepm-cntic-huawei-contracts-2025,senegal-mepm,author,senegal-mepm.name.1
sen-mepm-ouarkhokh-groundbreaking-2026,senegal-mepm,author,senegal-mepm.name.1
sen-genertec-ouarkhokh-chinese-2026,genertec-international,author,genertec-international.name.1
sen-mepm-huawei-sites-mou-2026,senegal-mepm,author,senegal-mepm.name.1
sen-afd-irve-ami12-2026,senelec,author,senelec.name.2
sen-boad-linguere-loan-2026,boad,author,boad.name.1
sen-boad-dakar-office-2026,boad,author,boad.name.1
sen-giz-ped2-awards-2025,giz,author,giz.name.1
sen-isdb-aser-133-award,aser,author,aser.name.1
sen-aner-d2b-live-api,aner,author,aner.name.1
sen-aner-archive-autonomisation-public-buildings,aner,author,aner.name.1
sen-aner-archive-esipc,aner,author,aner.name.1
sen-aner-archive-esipc-v4,aner,author,aner.name.1
sen-aner-archive-d2b,aner,author,aner.name.1
sen-aner-archive-gandiaye,aner,author,aner.name.1
sen-aner-archive-agpm-2025,aner,author,aner.name.1
sen-senelec-agpm-2026-contact,senelec,author,senelec.name.2
sen-omvg-project-contact,omvg-projet-energie,author,omvg-projet-energie.name.1
sen-irve-attachments-107072743,senelec,author,senelec.name.2
sen-arcop-aeepower-decision107-2024,arcop,author,arcop.name.1
sen-arcop-aeepower-decision138-2024,arcop,author,arcop.name.1
sen-aner-psd-2025-2029,aner,author,aner.name.1
sen-aner-document-catalogue,aner,author,aner.name.1
sen-aner-contact-2026,aner,author,aner.name.1
sen-aner-rooftop-preliminary-report,aner,author,aner.name.1
sen-aner-wp2-productive-use,aner,author,aner.name.1
sen-aner-public-contact-app,aner,author,aner.name.1
sen-aser-public-contact-app,aser,author,aser.name.1
sen-boad-signed-instruments-2024,boad,author,boad.name.1
