country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,64,Skills Technical Assistance Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR019"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,65,JT-Mpumalanga Community Development: JET Funding Platform Operationalisation,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR020"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,66,JT-Mpumalanga Community Development: Komati Socio-economic Support,register_row,A. Planned,named,"Overall - Data, Unique ID FR021"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,67,JT-Mpumalanga Community Development: Gender Mainstreaming Support,register_row,B. Approved,named,"Overall - Data, Unique ID FR022"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,68,Social Employment Fund -Komati,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FP001.1"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,69,TIPs: Just Transition Labour Centre,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FP001.2"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,70,JET-Skilling for Employment in Action,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FP001.3"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,71,Dipaleseng Just Energy Transition Indalopreneur project (D JET-IP),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FP001.4"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,72,Electrifying the South African Minibus Taxi,register_row,B. Approved,named,"Overall - Data, Unique ID FP001.5"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,73,Electricity Technical Assistance Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,74,"SAGEN CET ""“ Capacities for the Energy Transition",register_row,D. Completed,named,"Overall - Data, Unique ID GR002"
