country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-030,Geothermal Sokoria (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 30"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-031,Geothermal Songa Wayaua # 1,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 31"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-032,Geothermal Songa Wayaua # 2,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 32"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-033,Geothermal Rantau Dedap (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 33"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-034,Geothermal Rantau Dedap (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 34"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-035,Geothermal Kepahiang #2,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 35"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-036,Geothermal Kepahiang #1,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 36"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-037,Geothermal Rawadano (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 37"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-038,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 38"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-039,Geothermal Dieng (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 39"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-040,Geothermal Dieng (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 40"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-041,Geothermal Telaga Ngebel (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 41"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-042,Geothermal Bedugul,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 42"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-043,Geothermal Atadei (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 43"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-044,Geothermal Ulumbu 5,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 44"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-045,Geothermal Gunung Talang-Bukit Kili (20 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 45"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-046,Geothermal Hululais Bottoming Unit #1 (30 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 46"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-047,Geothermal Hululais Bottoming Unit #2 (30 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 47"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-048,Geothermal Hululais Ext B (Tambang Sawah) (40 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 48"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-049,PLTP Hululais Ext.A3 (Bukit Daun South) (20 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 48"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-050,Geothermal Hululais Ext.A4 (Bukit Daun South) (35 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 50"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-051,Geothermal Hululais Ext.C (Bt. Beriti) (55 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 51"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-052,Geothermal Hululais Extention #A/ Bukit Daut A (30 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 52"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-053,Geothermal Seulawah (55MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 53"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-054,Geothermal Sungai Penuh Two Phase Binary (10 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 54"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-055,Geothermal Ulubelu Ext. (Gunung Tiga) #1,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 55"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-056,Geothermal Ulubelu Ext. (Gunung Tiga) #2 (15 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 56"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-057,Geothermal Way Ratai (55 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 57"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-058,Geothermal Lumut Balai BU 1 (10 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 58"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-059,Geothermal Lumut Balai BU 2 (10 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 59"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-060,Geothermal Kotamobagu #1,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 60"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-061,Geothermal Rajabasa (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 61"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-062,Geothermal Cisolok - Cisukarame (40 mW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 62"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-063,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 63"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-064,Geothermal Baturaden (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 64"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-065,Geothermal Baturaden (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 65"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-066,Geothermal Ungaran (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 66"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-067,Geothermal Telaga Ngebel (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 67"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-068,Geothermal Telaga Ngebel (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 68"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-069,Geothermal Tulehu (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 69"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-070,Geothermal Mataloko (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 70"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-071,Geothermal Mataloko (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 71"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-072,Geothermal Nage (40 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 72"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-073,Geothermal Lahendong #9 (25 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 73"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-074,Geothermal Rawadano (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 74"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-075,Geothermal Gunung Salak 8,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 75"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-076,Geothermal Tangkuban Perahu (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 76"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-077,Geothermal Tangkuban Perahu (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 77"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-078,Geothermal Patuha (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 78"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-079,Geothermal Umbul Telumoyo (45 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 79"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-080,Geothermal Baturaden (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 80"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-081,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 81"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-082,Geothermal Arjuno Welirang (60 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 82"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-083,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 83"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-084,Geothermal Halmahera (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 84"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-085,Geothermal Ulumbu 6,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 85"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-086,Geothermal Flores (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 86"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-087,Geothermal Sungai Penuh (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 87"
